Node ID,Node Title,Centrality Authority/resource x resource,Centrality Betweenness/resource x resource,Centrality Betweenness/resource x resource/[unscaled],Clique Count/resource x resource,Centrality Closeness/resource x resource,Centrality Closeness/resource x resource/[unscaled],Density Clustering Coefficient/resource x resource,Centrality Eigenvector/resource x resource,Centrality Eigenvector/resource x resource/[unscaled],Centrality Eigenvector Per Component/resource x resource,Centrality Hub/resource x resource,Centrality In-Closeness/resource x resource,Centrality In-Closeness/resource x resource/[unscaled],Centrality In Degree/resource x resource,Centrality In Degree/resource x resource/[unscaled],Centrality Information/resource x resource,Centrality Information/resource x resource/[unscaled],Centrality Inverse Closeness/resource x resource,Centrality Inverse Closeness/resource x resource/[unscaled],Centrality Out Degree/resource x resource,Centrality Out Degree/resource x resource/[unscaled],Simmelian Ties/resource x resource,Simmelian Ties/resource x resource/[unscaled],Centrality Total Degree/resource x resource,Centrality Total Degree/resource x resource/[unscaled],Component Members Weak/resource x resource,
373,livejournal.com/users/hoptkov,0.0000,0.0000,0.0000,0.0000,0.0019,0.0000,0.0000,0.0017,0.0012,0.0010,0.0030,0.0007,0.0000,0.0000,0.0000,0.0005,1.3288,0.1479,220.2228,0.0013,2.0000,0.0000,0.0000,0.0007,2.0000,1.0000,
374,livejournal.com/users/jmhm,0.0665,0.0002,340.8742,152.0000,0.0019,0.0000,0.4509,0.0497,0.0352,0.0288,0.0218,0.0021,0.0000,0.0201,30.0000,0.0010,2.7189,0.2213,329.5655,0.0060,9.0000,0.0040,6.0000,0.0131,39.0000,1.0000,
375,livejournal.com/~dailyapple,0.0000,0.0000,0.0000,0.0000,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,85.0000,
376,livejournal.com/~ladywriter_mts,0.0000,0.0000,0.0000,0.0000,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,86.0000,
377,loadedmouth.com,0.0189,0.0021,4675.2725,106.0000,0.0019,0.0000,0.1306,0.0476,0.0336,0.0276,0.0642,0.0021,0.0000,0.0094,14.0000,0.0013,3.6063,0.2504,372.8328,0.0282,42.0000,0.0040,6.0000,0.0188,56.0000,1.0000,
378,lorenjavier.blogspot.com,0.0000,0.0000,0.0000,10.0000,0.0019,0.0000,0.2500,0.0205,0.0145,0.0119,0.0357,0.0007,0.0000,0.0000,0.0000,0.0011,3.0854,0.2058,306.4819,0.0094,14.0000,0.0000,0.0000,0.0047,14.0000,1.0000,
379,loud-liberal.blogspot.com,0.0061,0.0000,5.8228,2.0000,0.0019,0.0000,0.2222,0.0089,0.0063,0.0052,0.0092,0.0021,0.0000,0.0020,3.0000,0.0006,1.7065,0.1633,243.2229,0.0020,3.0000,0.0000,0.0000,0.0020,6.0000,1.0000,
380,loveamericahatebush.com,0.0000,0.0000,0.0000,0.0000,0.0019,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0021,0.0000,0.0007,1.0000,0.0002,0.5677,0.1375,204.8066,0.0007,1.0000,0.0000,0.0000,0.0007,2.0000,1.0000,
381,lowrentrat.blogdrive.com,0.0013,0.0000,0.4839,5.0000,0.0019,0.0000,0.2449,0.0092,0.0065,0.0053,0.0148,0.0021,0.0000,0.0007,1.0000,0.0009,2.3848,0.1833,272.8607,0.0040,6.0000,0.0000,0.0000,0.0023,7.0000,1.0000,
382,ltobs.blogspot.com,0.0000,0.0000,0.0000,0.0000,0.0019,0.0000,0.0000,0.0007,0.0005,0.0004,0.0013,0.0007,0.0000,0.0000,0.0000,0.0003,0.7984,0.1459,217.2632,0.0007,1.0000,0.0000,0.0000,0.0003,1.0000,1.0000,
383,ludis.blogspot.com,0.0000,0.0000,0.0000,11.0000,0.0019,0.0000,0.3827,0.0247,0.0174,0.0143,0.0419,0.0007,0.0000,0.0000,0.0000,0.0011,3.0854,0.2045,304.4915,0.0094,14.0000,0.0000,0.0000,0.0047,14.0000,1.0000,
384,ludovicspeaks.typepad.com,0.0003,0.0000,0.0000,3.0000,0.0019,0.0000,0.3611,0.0087,0.0062,0.0051,0.0157,0.0007,0.0000,0.0007,1.0000,0.0008,2.2093,0.1735,258.3205,0.0034,5.0000,0.0000,0.0000,0.0020,6.0000,1.0000,
385,ludovicspeaks.typepad.com/real_deal,0.0000,0.0000,0.0000,3.0000,0.0019,0.0000,0.3611,0.0087,0.0062,0.0051,0.0157,0.0007,0.0000,0.0000,0.0000,0.0009,2.3848,0.1742,259.3205,0.0040,6.0000,0.0000,0.0000,0.0020,6.0000,1.0000,
386,madamepresident2020.blogspot.com,0.0000,0.0000,0.0000,0.0000,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,87.0000,
387,madkane.com/notable.html,0.0750,0.0203,45021.6133,5967.0000,0.0019,0.0000,0.1515,0.1450,0.1026,0.0841,0.1810,0.0021,0.0000,0.0262,39.0000,0.0014,3.8392,0.3094,460.7167,0.0879,131.0000,0.0208,31.0000,0.0571,170.0000,1.0000,
388,maggiespants.co.uk,0.0000,0.0000,0.0000,0.0000,0.0019,0.0000,0.0000,0.0010,0.0007,0.0006,0.0021,0.0007,0.0000,0.0000,0.0000,0.0005,1.3287,0.1348,200.6726,0.0013,2.0000,0.0000,0.0000,0.0007,2.0000,1.0000,
389,mahablog.com,0.0649,0.0007,1542.2140,836.0000,0.0019,0.0000,0.2380,0.0880,0.0622,0.0510,0.0933,0.0021,0.0000,0.0262,39.0000,0.0013,3.5967,0.2409,358.6324,0.0268,40.0000,0.0047,7.0000,0.0265,79.0000,1.0000,
390,marcbrazeau.blogspot.com,0.0000,0.0000,0.0000,10.0000,0.0019,0.0000,0.1592,0.0219,0.0155,0.0127,0.0385,0.0007,0.0000,0.0000,0.0000,0.0012,3.2103,0.2217,330.0751,0.0114,17.0000,0.0000,0.0000,0.0057,17.0000,1.0000,
391,margaretcho.com/blog/blog.htm,0.0411,0.0001,141.7728,57.0000,0.0019,0.0000,0.2222,0.0362,0.0256,0.0210,0.0250,0.0021,0.0000,0.0168,25.0000,0.0009,2.5048,0.1967,292.8913,0.0047,7.0000,0.0013,2.0000,0.0107,32.0000,1.0000,
392,margieburns.com,0.0001,0.0000,0.0000,0.0000,0.0007,0.0000,0.0000,0.0001,0.0001,0.0000,0.0000,0.0007,0.0000,0.0007,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0003,1.0000,1.0000,
393,markadams.blogdrive.com,0.0130,0.0004,940.2151,61.0000,0.0019,0.0000,0.2620,0.0272,0.0193,0.0158,0.0244,0.0021,0.0000,0.0067,10.0000,0.0013,3.3696,0.2349,349.7490,0.0154,23.0000,0.0040,6.0000,0.0111,33.0000,1.0000,
394,markarkleiman.com,0.1092,0.0020,4518.1182,1494.0000,0.0019,0.0000,0.2775,0.1014,0.0717,0.0588,0.0919,0.0021,0.0000,0.0396,59.0000,0.0013,3.5722,0.2424,360.9161,0.0262,39.0000,0.0168,25.0000,0.0329,98.0000,1.0000,
395,markch.blogspot.com,0.0000,0.0000,0.0000,0.0000,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,88.0000,
396,markschmitt.typepad.com/decembrist,0.0475,0.0003,746.0418,117.0000,0.0019,0.0000,0.2350,0.0493,0.0349,0.0286,0.0324,0.0021,0.0000,0.0228,34.0000,0.0011,2.8468,0.1997,297.3342,0.0074,11.0000,0.0027,4.0000,0.0151,45.0000,1.0000,
397,markwarnerforpresident2008.blogspot.com,0.0004,0.0000,0.0000,0.0000,0.0007,0.0000,0.0000,0.0002,0.0001,0.0001,0.0000,0.0007,0.0000,0.0007,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0003,1.0000,1.0000,
398,martadonayre.com,0.0000,0.0000,0.0000,0.0000,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,89.0000,
399,maruthecrankpot.blogspot.com,0.0538,0.0041,9014.0332,274.0000,0.0019,0.0000,0.2282,0.0610,0.0432,0.0354,0.0538,0.0021,0.0000,0.0201,30.0000,0.0013,3.5565,0.2534,377.3160,0.0242,36.0000,0.0074,11.0000,0.0222,66.0000,1.0000,
400,massachusetts-liberal.com,0.0000,0.0000,0.0000,0.0000,0.0019,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0007,0.0000,0.0000,0.0000,0.0003,0.7984,0.1288,191.7823,0.0007,1.0000,0.0000,0.0000,0.0003,1.0000,1.0000,
401,mathewgross.com,0.0038,0.0000,7.9423,1.0000,0.0019,0.0000,0.0625,0.0026,0.0018,0.0015,0.0007,0.0021,0.0000,0.0027,4.0000,0.0003,0.7711,0.1575,234.4668,0.0007,1.0000,0.0000,0.0000,0.0017,5.0000,1.0000,
402,mathewgross.com/blog,0.0416,0.0024,5301.6323,153.0000,0.0019,0.0000,0.2171,0.0513,0.0363,0.0298,0.0510,0.0021,0.0000,0.0168,25.0000,0.0013,3.3693,0.2159,321.4584,0.0161,24.0000,0.0034,5.0000,0.0164,49.0000,1.0000,
403,matthewyglesias.com,0.0000,0.0000,0.0000,0.0000,0.0019,0.0000,0.0000,0.0019,0.0013,0.0011,0.0034,0.0007,0.0000,0.0000,0.0000,0.0003,0.7984,0.1501,223.4859,0.0007,1.0000,0.0000,0.0000,0.0003,1.0000,1.0000,
404,maultasch.us,0.0024,0.0000,0.0000,1.0000,0.0007,0.0000,0.5000,0.0015,0.0011,0.0009,0.0000,0.0021,0.0000,0.0013,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0007,2.0000,1.0000,
405,maxspeak.org/mt,0.1567,0.0015,3303.5076,2506.0000,0.0019,0.0000,0.2261,0.1167,0.0825,0.0676,0.0213,0.0021,0.0000,0.0584,87.0000,0.0009,2.4511,0.2225,331.2587,0.0047,7.0000,0.0013,2.0000,0.0316,94.0000,1.0000,
406,mayflowerhill.blogspot.com,0.0007,0.0000,31.4281,18.0000,0.0019,0.0000,0.2768,0.0209,0.0148,0.0121,0.0344,0.0021,0.0000,0.0007,1.0000,0.0012,3.1729,0.2200,327.6108,0.0107,16.0000,0.0000,0.0000,0.0057,17.0000,1.0000,
407,mcwil.blogspot.com,0.0001,0.0000,0.0000,0.0000,0.0007,0.0000,0.0000,0.0001,0.0001,0.0000,0.0000,0.0021,0.0000,0.0007,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0003,1.0000,1.0000,
408,meanspirit.blogspot.com,0.0001,0.0000,0.0000,0.0000,0.0007,0.0000,0.0000,0.0001,0.0001,0.0000,0.0000,0.0021,0.0000,0.0007,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0003,1.0000,1.0000,
409,meateatingleftist.com,0.0020,0.0000,15.5492,15.0000,0.0019,0.0000,0.3086,0.0217,0.0153,0.0126,0.0345,0.0021,0.0000,0.0013,2.0000,0.0012,3.1302,0.2035,303.0416,0.0101,15.0000,0.0000,0.0000,0.0057,17.0000,1.0000,
410,mediajunkie.com/edgewise,0.0047,0.0008,1722.3557,76.0000,0.0019,0.0000,0.2514,0.0493,0.0348,0.0286,0.0682,0.0021,0.0000,0.0020,3.0000,0.0013,3.5650,0.2380,354.3159,0.0242,36.0000,0.0000,0.0000,0.0131,39.0000,1.0000,
411,mediaprima.com/nv1962,0.0022,0.0000,0.0000,0.0000,0.0007,0.0000,0.0000,0.0011,0.0008,0.0006,0.0000,0.0021,0.0000,0.0007,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0003,1.0000,1.0000,
412,members.aol.com/ourprez08,0.0000,0.0000,0.0000,0.0000,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,90.0000,
413,members.cox.net/aaronjohn,0.0000,0.0000,0.0000,0.0000,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,91.0000,
414,messengerpuppet.com/blog,0.0000,0.0000,0.0000,0.0000,0.0019,0.0000,0.0000,0.0020,0.0014,0.0012,0.0025,0.0007,0.0000,0.0000,0.0000,0.0005,1.3289,0.1988,296.0009,0.0013,2.0000,0.0000,0.0000,0.0007,2.0000,1.0000,
415,metropol47.blogspot.com,0.0017,0.0001,134.5041,2.0000,0.0019,0.0000,0.1111,0.0072,0.0051,0.0042,0.0125,0.0021,0.0000,0.0013,2.0000,0.0009,2.3634,0.1876,279.4010,0.0040,6.0000,0.0000,0.0000,0.0027,8.0000,1.0000,
416,michael124.blogspot.com,0.0000,0.0000,0.0000,8.0000,0.0019,0.0000,0.2813,0.0118,0.0083,0.0068,0.0200,0.0007,0.0000,0.0000,0.0000,0.0010,2.6478,0.1993,296.8247,0.0054,8.0000,0.0000,0.0000,0.0027,8.0000,1.0000,
417,michaelberube.com,0.0975,0.0021,4620.1011,7116.0000,0.0019,0.0000,0.2713,0.1286,0.0909,0.0746,0.1523,0.0021,0.0000,0.0349,52.0000,0.0014,3.7473,0.2720,404.9494,0.0490,73.0000,0.0188,28.0000,0.0420,125.0000,1.0000,
418,michaelphillips.blogspot.com,0.0004,0.0005,1033.8148,34.0000,0.0019,0.0000,0.2448,0.0312,0.0221,0.0181,0.0529,0.0007,0.0000,0.0013,2.0000,0.0013,3.3743,0.2159,321.5154,0.0161,24.0000,0.0000,0.0000,0.0087,26.0000,1.0000,
419,mickikrimmel.com/redcarpet,0.0000,0.0000,0.0000,0.0000,0.0019,0.0000,0.0000,0.0039,0.0027,0.0022,0.0061,0.0007,0.0000,0.0000,0.0000,0.0006,1.7067,0.1777,264.6274,0.0020,3.0000,0.0000,0.0000,0.0010,3.0000,1.0000,
420,midguard.blogspot.com,0.0010,0.0000,33.0221,2.0000,0.0019,0.0000,0.0800,0.0042,0.0030,0.0024,0.0067,0.0021,0.0000,0.0013,2.0000,0.0007,1.9807,0.1856,276.3438,0.0027,4.0000,0.0000,0.0000,0.0020,6.0000,1.0000,
421,minagahet.blogspot.com,0.0000,0.0000,0.0000,3.0000,0.0019,0.0000,0.2000,0.0082,0.0058,0.0048,0.0146,0.0007,0.0000,0.0000,0.0000,0.0008,2.2092,0.1838,273.7273,0.0034,5.0000,0.0000,0.0000,0.0017,5.0000,1.0000,
422,mirocat.com,0.0043,0.0000,36.4423,6.0000,0.0019,0.0000,0.1736,0.0112,0.0079,0.0065,0.0138,0.0021,0.0000,0.0020,3.0000,0.0010,2.6480,0.2112,314.5104,0.0054,8.0000,0.0000,0.0000,0.0037,11.0000,1.0000,
423,miss-sassafras.com,0.0000,0.0000,0.0000,0.0000,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,92.0000,
424,misschin.bloggage.com,0.0007,0.0000,0.0000,1.0000,0.0019,0.0000,0.2500,0.0003,0.0002,0.0002,0.0001,0.0021,0.0000,0.0013,2.0000,0.0002,0.4337,0.1379,205.3635,0.0007,1.0000,0.0000,0.0000,0.0010,3.0000,1.0000,
425,missourikid.blog-city.com,0.0000,0.0000,0.0000,0.0000,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,93.0000,
426,mixtersmix.blogspot.com,0.0009,0.0000,0.0000,1.0000,0.0019,0.0000,0.5000,0.0006,0.0004,0.0003,0.0004,0.0021,0.0000,0.0013,2.0000,0.0004,1.2108,0.1769,263.3450,0.0013,2.0000,0.0013,2.0000,0.0013,4.0000,1.0000,
427,montages.blogspot.com,0.0031,0.0004,966.8887,7.0000,0.0019,0.0000,0.1157,0.0081,0.0057,0.0047,0.0118,0.0021,0.0000,0.0020,3.0000,0.0010,2.7449,0.1934,287.9268,0.0060,9.0000,0.0000,0.0000,0.0040,12.0000,1.0000,
428,moxiegrrrl.com,0.0000,0.0000,0.0000,1.0000,0.0019,0.0000,0.1224,0.0092,0.0065,0.0053,0.0164,0.0007,0.0000,0.0000,0.0000,0.0009,2.5283,0.1932,287.7343,0.0047,7.0000,0.0000,0.0000,0.0023,7.0000,1.0000,
429,mrleft.org,0.0053,0.0000,0.0000,1.0000,0.0007,0.0000,0.2222,0.0033,0.0023,0.0019,0.0000,0.0021,0.0000,0.0020,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010,3.0000,1.0000,
430,mrstevebeers.blogspot.com,0.0000,0.0000,0.0000,0.0000,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,94.0000,
431,msnbc.msn.com/id/3449870,0.0605,0.0023,5008.7104,551.0000,0.0019,0.0000,0.1714,0.0885,0.0626,0.0513,0.0961,0.0021,0.0000,0.0342,51.0000,0.0013,3.5504,0.2424,360.8828,0.0242,36.0000,0.0020,3.0000,0.0292,87.0000,1.0000,
432,mstabile.blogspot.com,0.0435,0.0001,152.0299,58.0000,0.0019,0.0000,0.2832,0.0401,0.0284,0.0233,0.0259,0.0021,0.0000,0.0161,24.0000,0.0011,2.8304,0.2055,305.9416,0.0067,10.0000,0.0013,2.0000,0.0114,34.0000,1.0000,
433,multitudes.typepad.com,0.0000,0.0000,0.0000,0.0000,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,95.0000,
434,mydd.com,0.1449,0.0051,11241.5938,2108.0000,0.0019,0.0000,0.1097,0.1221,0.0863,0.0708,0.0880,0.0021,0.0000,0.0765,114.0000,0.0013,3.6169,0.2333,347.4158,0.0302,45.0000,0.0148,22.0000,0.0534,159.0000,1.0000,
435,myducksoup.com/blog/bloglib/bloglib.shtml,0.0000,0.0000,0.0000,0.0000,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,96.0000,
436,myleftbrain.com,0.0166,0.0002,458.7510,58.0000,0.0019,0.0000,0.2912,0.0372,0.0263,0.0216,0.0559,0.0021,0.0000,0.0060,9.0000,0.0013,3.3894,0.2277,339.0156,0.0161,24.0000,0.0040,6.0000,0.0111,33.0000,1.0000,
437,myleftthoughts.blogspot.com,0.0000,0.0000,0.0000,0.0000,0.0019,0.0000,0.0000,0.0014,0.0010,0.0008,0.0022,0.0007,0.0000,0.0000,0.0000,0.0003,0.7984,0.1621,241.3956,0.0007,1.0000,0.0000,0.0000,0.0003,1.0000,1.0000,
438,mysterypollster.com/main,0.0064,0.0003,605.1569,14.0000,0.0019,0.0000,0.1938,0.0186,0.0131,0.0108,0.0248,0.0021,0.0000,0.0040,6.0000,0.0011,2.9737,0.2249,334.8847,0.0081,12.0000,0.0000,0.0000,0.0060,18.0000,1.0000,
439,nastyboys.blogspot.com,0.0038,0.0000,10.7001,1.0000,0.0019,0.0000,0.1250,0.0029,0.0021,0.0017,0.0014,0.0021,0.0000,0.0013,2.0000,0.0006,1.6970,0.1803,268.4985,0.0020,3.0000,0.0000,0.0000,0.0017,5.0000,1.0000,
440,nathancallahan.com,0.0015,0.0005,1035.7668,1.0000,0.0019,0.0000,0.1389,0.0080,0.0057,0.0047,0.0132,0.0021,0.0000,0.0013,2.0000,0.0008,2.1943,0.1901,283.0439,0.0034,5.0000,0.0000,0.0000,0.0023,7.0000,1.0000,
441,nathannewman.org/log,0.1182,0.0003,704.9078,2322.0000,0.0019,0.0000,0.3167,0.1000,0.0707,0.0580,0.0526,0.0021,0.0000,0.0409,61.0000,0.0012,3.1743,0.2125,316.3989,0.0114,17.0000,0.0054,8.0000,0.0262,78.0000,1.0000,
442,nationalreview.com/frum/frum-diary.asp,0.0133,0.0000,0.0000,10.0000,0.0007,0.0000,0.1422,0.0107,0.0076,0.0062,0.0000,0.0021,0.0000,0.0101,15.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0050,15.0000,1.0000,
443,ndnblog.org,0.0256,0.0000,0.0000,14.0000,0.0007,0.0000,0.3378,0.0193,0.0137,0.0112,0.0000,0.0021,0.0000,0.0101,15.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0050,15.0000,1.0000,
444,nearouterheaven.blogspot.com,0.0029,0.0000,3.7461,12.0000,0.0019,0.0000,0.4879,0.0319,0.0226,0.0185,0.0474,0.0021,0.0000,0.0007,1.0000,0.0012,3.1727,0.2147,319.6155,0.0107,16.0000,0.0000,0.0000,0.0057,17.0000,1.0000,
445,nebursworld.blogspot.com,0.0000,0.0000,0.0000,0.0000,0.0019,0.0000,0.0000,0.0021,0.0014,0.0012,0.0037,0.0007,0.0000,0.0000,0.0000,0.0003,0.7985,0.1688,251.3454,0.0007,1.0000,0.0000,0.0000,0.0003,1.0000,1.0000,
446,needlenose.com,0.0625,0.0000,24.1503,99.0000,0.0019,0.0000,0.2604,0.0445,0.0314,0.0258,0.0092,0.0021,0.0000,0.0221,33.0000,0.0006,1.6872,0.1858,276.5940,0.0020,3.0000,0.0000,0.0000,0.0121,36.0000,1.0000,
447,nephandus.com/blog.php,0.0000,0.0000,0.0000,0.0000,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,97.0000,
448,nerofiddled.blogspot.com,0.0002,0.0000,25.8236,3.0000,0.0019,0.0000,0.2222,0.0072,0.0051,0.0042,0.0127,0.0007,0.0000,0.0007,1.0000,0.0009,2.3443,0.1834,273.0939,0.0040,6.0000,0.0000,0.0000,0.0023,7.0000,1.0000,
449,netpolitik.blogspot.com,0.0167,0.0003,760.4623,81.0000,0.0019,0.0000,0.1918,0.0437,0.0309,0.0254,0.0544,0.0021,0.0000,0.0087,13.0000,0.0013,3.4498,0.2296,341.8825,0.0181,27.0000,0.0000,0.0000,0.0134,40.0000,1.0000,
450,netweed.com/postmodernanarchist,0.0012,0.0000,0.0000,0.0000,0.0019,0.0000,0.0000,0.0007,0.0005,0.0004,0.0006,0.0021,0.0000,0.0007,1.0000,0.0003,0.7815,0.1653,246.1608,0.0007,1.0000,0.0000,0.0000,0.0007,2.0000,1.0000,
451,newappeal.blogspot.com,0.0007,0.0000,6.3162,7.0000,0.0019,0.0000,0.4306,0.0218,0.0154,0.0127,0.0354,0.0021,0.0000,0.0007,1.0000,0.0011,2.9105,0.2085,310.4487,0.0074,11.0000,0.0000,0.0000,0.0040,12.0000,1.0000,
452,newdemocrat.blogdrive.com,0.0037,0.0000,15.2530,4.0000,0.0019,0.0000,0.2656,0.0111,0.0078,0.0064,0.0158,0.0021,0.0000,0.0027,4.0000,0.0007,1.9894,0.1919,285.6843,0.0027,4.0000,0.0000,0.0000,0.0027,8.0000,1.0000,
453,newdonkey.com,0.0299,0.0001,184.5725,51.0000,0.0019,0.0000,0.1900,0.0318,0.0225,0.0185,0.0241,0.0021,0.0000,0.0168,25.0000,0.0010,2.6792,0.1919,285.7842,0.0060,9.0000,0.0027,4.0000,0.0114,34.0000,1.0000,
454,newleftblogs.blogspot.com,0.0647,0.0207,45895.5156,4672.0000,0.0019,0.0000,0.1179,0.1351,0.0955,0.0783,0.1614,0.0021,0.0000,0.0262,39.0000,0.0014,3.8447,0.2975,443.0164,0.0940,140.0000,0.0121,18.0000,0.0601,179.0000,1.0000,
455,news-opinion.blog-city.com,0.0000,0.0000,0.0000,0.0000,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,98.0000,
456,newstrolls.com,0.0000,0.0000,0.0000,0.0000,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,99.0000,
457,nftl.blogspot.com,0.0000,0.0000,0.0000,0.0000,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,
458,niagarabuzz.com,0.0000,0.0000,0.0000,0.0000,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,101.0000,
459,nickgerman.blogspot.com,0.0000,0.0000,0.0000,0.0000,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,102.0000,
460,nielsenhayden.com/electrolite,0.0972,0.0028,6126.4038,8020.0000,0.0019,0.0000,0.3187,0.1201,0.0849,0.0696,0.1418,0.0021,0.0000,0.0295,44.0000,0.0014,3.7242,0.2584,384.8160,0.0443,66.0000,0.0188,28.0000,0.0369,110.0000,1.0000,
461,nielsenhayden.com/makinglight,0.0757,0.0006,1433.9899,492.0000,0.0019,0.0000,0.3182,0.0706,0.0499,0.0410,0.0529,0.0021,0.0000,0.0248,37.0000,0.0012,3.2820,0.2290,340.9918,0.0134,20.0000,0.0054,8.0000,0.0191,57.0000,1.0000,
462,njfordemocracy.org,0.0007,0.0000,0.0000,0.0000,0.0007,0.0000,0.0000,0.0008,0.0006,0.0005,0.0000,0.0021,0.0000,0.0007,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0003,1.0000,1.0000,
463,njn-blogogram.blogspot.com,0.0000,0.0000,0.0000,0.0000,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,103.0000,
464,njsoccermom.blogspot.com,0.0000,0.0000,0.0000,0.0000,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,104.0000,
